"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72"
-15.04,-11,1000,0,0,0,0,0,0.0408163265306122,0,0.0204081632653061,0.0204081632653061,0.0102040816326531,0.0102040816326531,0,0.0102040816326531,0.0102040816326531,0.0102040816326531,0.0102040816326531,0,0.0408163265306122,0.0102040816326531,0,0,0,0.0306122448979592,0.0408163265306122,0.0204081632653061,0.0510204081632653,0,0,0,0,0,0.0612244897959184,0.0102040816326531,0.0408163265306122,0,0.0204081632653061,0.0102040816326531,0,0,0.0102040816326531,0.0204081632653061,0.0204081632653061,0.0510204081632653,0.0204081632653061,0,0.0204081632653061,0.0102040816326531,0,0.0102040816326531,0.0306122448979592,0.0102040816326531,0.0306122448979592,0.0204081632653061,0,0.0102040816326531,0.0204081632653061,0.0408163265306122,0.0102040816326531,0.0102040816326531,0,0.0204081632653061,0,0.0510204081632653,0.0306122448979592,0.0102040816326531,0.0102040816326531,0.0408163265306122,0.0102040816326531,0
-29.3,-1000,1000,0,0,0,0,0,0,0,0,0,0.0120481927710843,0,0.0120481927710843,0,0.036144578313253,0,0.0120481927710843,0,0.0240963855421687,0.0120481927710843,0,0,0,0,0.0240963855421687,0,0,0,0,0,0.0120481927710843,0.0240963855421687,0.0602409638554217,0,0.036144578313253,0.036144578313253,0.0240963855421687,0,0,0,0.0240963855421687,0.036144578313253,0,0.0240963855421687,0.0120481927710843,0,0.0120481927710843,0,0.0120481927710843,0.0120481927710843,0.0120481927710843,0.036144578313253,0.0963855421686747,0,0,0.0481927710843374,0.0240963855421687,0.036144578313253,0.036144578313253,0,0.0481927710843374,0.0120481927710843,0,0.036144578313253,0.0481927710843374,0.0120481927710843,0.036144578313253,0.0481927710843374,0.0120481927710843,0
-1.9,-39,1000,0,1,0,1,0.0444444444444444,0,0,0.0222222222222222,0,0,0,0.0222222222222222,0,0,0,0.0222222222222222,0.0444444444444444,0,0.0444444444444444,0.0222222222222222,0,0,0,0,0,0,0,0,0,0,0.0222222222222222,0.0222222222222222,0.0444444444444444,0,0.0222222222222222,0,0.0222222222222222,0.0222222222222222,0,0.0222222222222222,0,0,0.0222222222222222,0.0222222222222222,0,0,0,0.0666666666666667,0,0,0.0444444444444444,0.0444444444444444,0.0222222222222222,0.0222222222222222,0.0222222222222222,0.0222222222222222,0,0,0,0.0222222222222222,0.0444444444444444,0.0444444444444444,0.0444444444444444,0.0222222222222222,0,0.0222222222222222,0.0666666666666667,0.0444444444444444,0
-49.6,80,1000,0,1,0,1,0.0287081339712919,0.00478468899521531,0.00478468899521531,0.0239234449760766,0.0191387559808612,0.0287081339712919,0.00478468899521531,0.00956937799043062,0.00478468899521531,0.00478468899521531,0.00956937799043062,0.00956937799043062,0.0191387559808612,0.0143540669856459,0.0239234449760766,0.0143540669856459,0.00478468899521531,0.0191387559808612,0.00956937799043062,0.00478468899521531,0.0239234449760766,0.0334928229665072,0.00956937799043062,0.0143540669856459,0.00956937799043062,0.0143540669856459,0.00956937799043062,0.0334928229665072,0.00956937799043062,0.0143540669856459,0.0191387559808612,0.0143540669856459,0.0239234449760766,0.00956937799043062,0.0191387559808612,0.0143540669856459,0.00956937799043062,0,0.00478468899521531,0.0191387559808612,0.00478468899521531,0.00478468899521531,0,0.0334928229665072,0.0143540669856459,0.0239234449760766,0.0191387559808612,0.0334928229665072,0.0143540669856459,0.0143540669856459,0.0191387559808612,0.00956937799043062,0,0.0191387559808612,0.0191387559808612,0.0287081339712919,0.0239234449760766,0.0239234449760766,0.0239234449760766,0.0239234449760766,0.0143540669856459,0.0143540669856459,0.0334928229665072,0.0143540669856459,0
-8.7,-77,270,0,1,0,1,0.0481927710843374,0.0240963855421687,0.0240963855421687,0.0240963855421687,0.0240963855421687,0.0120481927710843,0.0120481927710843,0.0120481927710843,0.036144578313253,0.0120481927710843,0.0120481927710843,0.0120481927710843,0.0240963855421687,0,0.036144578313253,0.0120481927710843,0.036144578313253,0.0240963855421687,0.0120481927710843,0,0.0120481927710843,0.0602409638554217,0.0240963855421687,0.0120481927710843,0.0120481927710843,0.0120481927710843,0,0.0120481927710843,0.036144578313253,0.0240963855421687,0.0120481927710843,0.0120481927710843,0.036144578313253,0.0120481927710843,0,0,0.0240963855421687,0.0120481927710843,0,0.0481927710843374,0.0120481927710843,0,0,0,0,0.0120481927710843,0.0120481927710843,0.0120481927710843,0.0120481927710843,0.036144578313253,0.036144578313253,0.0120481927710843,0,0.0240963855421687,0,0.0120481927710843,0.0240963855421687,0.0240963855421687,0,0.0120481927710843,0,0,0,0,0
-18.6,-21,0,-39,0,0,1,0.0654205607476635,0,0.00934579439252336,0.00934579439252336,0,0.0186915887850467,0,0.0280373831775701,0.00934579439252336,0.00934579439252336,0,0.00934579439252336,0.0373831775700935,0,0,0.0467289719626168,0.00934579439252336,0.00934579439252336,0.0186915887850467,0.0186915887850467,0,0.0560747663551402,0.00934579439252336,0.0280373831775701,0,0.00934579439252336,0.0373831775700935,0.0186915887850467,0.00934579439252336,0.0373831775700935,0.00934579439252336,0,0.00934579439252336,0,0,0.0373831775700935,0,0.0186915887850467,0.00934579439252336,0.00934579439252336,0,0,0.0280373831775701,0,0.0186915887850467,0.0186915887850467,0.0373831775700935,0.0186915887850467,0.0280373831775701,0.00934579439252336,0,0.0186915887850467,0.0280373831775701,0.0186915887850467,0.0186915887850467,0.0186915887850467,0,0.0560747663551402,0.00934579439252336,0.0186915887850467,0.0280373831775701,0.00934579439252336,0.0186915887850467,0,0
-11.2,-73,1000,0,0,0,0,0,0,0,0.0135135135135135,0.027027027027027,0,0.0540540540540541,0.027027027027027,0.0135135135135135,0.0135135135135135,0,0,0.027027027027027,0.0135135135135135,0,0.027027027027027,0.027027027027027,0,0.0135135135135135,0.027027027027027,0,0.0675675675675676,0.0135135135135135,0.0135135135135135,0,0.0405405405405405,0.027027027027027,0,0,0.0405405405405405,0.027027027027027,0.027027027027027,0,0.027027027027027,0.0135135135135135,0,0,0.0540540540540541,0.0135135135135135,0.0135135135135135,0.0405405405405405,0,0,0.027027027027027,0,0.0135135135135135,0.0135135135135135,0,0.027027027027027,0,0.0135135135135135,0.027027027027027,0,0.0405405405405405,0.0135135135135135,0.0135135135135135,0,0.027027027027027,0.0135135135135135,0.0135135135135135,0.0405405405405405,0,0,0.0135135135135135,0
-74.3,-69,1000,0,1,67,0,0.00970873786407767,0.0145631067961165,0.0194174757281553,0.00485436893203883,0,0.00485436893203883,0.0194174757281553,0.00485436893203883,0.0242718446601942,0.0436893203883495,0.0145631067961165,0.0242718446601942,0.00485436893203883,0.0145631067961165,0,0.00970873786407767,0.0145631067961165,0.0145631067961165,0.0242718446601942,0.0194174757281553,0.0242718446601942,0.0145631067961165,0.00970873786407767,0.00970873786407767,0.00970873786407767,0.00970873786407767,0.00970873786407767,0.00970873786407767,0.00485436893203883,0.00970873786407767,0.0485436893203883,0.00485436893203883,0.00970873786407767,0.0145631067961165,0.00485436893203883,0.0145631067961165,0.0388349514563107,0.00970873786407767,0.00970873786407767,0.00970873786407767,0,0.0242718446601942,0.00485436893203883,0.0485436893203883,0.029126213592233,0.0194174757281553,0.0242718446601942,0.0388349514563107,0.00485436893203883,0.00970873786407767,0.0242718446601942,0.00485436893203883,0.0145631067961165,0.0194174757281553,0.029126213592233,0.0194174757281553,0.0194174757281553,0.0145631067961165,0.0145631067961165,0.0242718446601942,0.00485436893203883,0,0.0388349514563107,0.00485436893203883,0
-39.6,68,1000,0,0,0,0,0.00520833333333333,0.0208333333333333,0.015625,0,0.0416666666666667,0.015625,0.00520833333333333,0.00520833333333333,0.00520833333333333,0.0208333333333333,0.0104166666666667,0.0208333333333333,0,0.0260416666666667,0.015625,0.0208333333333333,0.0208333333333333,0.0208333333333333,0.015625,0.0104166666666667,0.0208333333333333,0.00520833333333333,0.015625,0,0.00520833333333333,0.0208333333333333,0.015625,0.0208333333333333,0.0104166666666667,0.0104166666666667,0.00520833333333333,0.0416666666666667,0.0104166666666667,0.00520833333333333,0.015625,0.015625,0.0208333333333333,0.0260416666666667,0.015625,0.0208333333333333,0.0104166666666667,0.0104166666666667,0.0104166666666667,0.0208333333333333,0.0104166666666667,0.0208333333333333,0.0104166666666667,0.015625,0.015625,0.0104166666666667,0.00520833333333333,0.0416666666666667,0.00520833333333333,0.0104166666666667,0.0260416666666667,0.0104166666666667,0.0260416666666667,0,0.015625,0.0260416666666667,0.0260416666666667,0.015625,0.0416666666666667,0.015625,0
-105.8,319,1000,0,0,0,0,0.0267260579064588,0.0111358574610245,0.0178173719376392,0.0133630289532294,0.0289532293986637,0.0044543429844098,0.0111358574610245,0.0022271714922049,0.0022271714922049,0.0155902004454343,0.0133630289532294,0.0200445434298441,0.0334075723830735,0.0378619153674833,0.0111358574610245,0.022271714922049,0.0155902004454343,0.0066815144766147,0.0089086859688196,0.0289532293986637,0.0066815144766147,0.0111358574610245,0.0066815144766147,0.0089086859688196,0.0089086859688196,0.0066815144766147,0.0133630289532294,0.0244988864142539,0.0022271714922049,0.0089086859688196,0.0111358574610245,0.0089086859688196,0.0133630289532294,0.0089086859688196,0.0178173719376392,0.0200445434298441,0.0178173719376392,0.0089086859688196,0.0111358574610245,0.0111358574610245,0.0133630289532294,0.0089086859688196,0.0066815144766147,0.0289532293986637,0.0111358574610245,0.0178173719376392,0.022271714922049,0.0334075723830735,0.0356347438752784,0.0066815144766147,0.0111358574610245,0.0267260579064588,0.0155902004454343,0.0089086859688196,0.0155902004454343,0.0111358574610245,0.0289532293986637,0.0089086859688196,0.0244988864142539,0.0267260579064588,0.0089086859688196,0.0066815144766147,0.0489977728285078,0.0133630289532294,0
